uk_region,postcode,latitude,longitude,region,population,energy (kcal),delta (kcal),% fat,% carbohydrate,% protein
London,SE19,51.41735,-0.08424,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE2,51.48943,0.11759,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE20,51.41151,-0.05716,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE21,51.43807,-0.08626,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE22,51.45401,-0.07119,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE23,51.44015,-0.04875,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE24,51.45446,-0.09853,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE25,51.39742,-0.07501,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE26,51.42674,-0.05364,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE27,51.43022,-0.10097,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE28,51.50219,0.10809,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE3,51.46866,0.02015,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE4,51.46058,-0.03348,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE5,51.47322,-0.09055,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE6,51.43777,-0.01432,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE7,51.48369,0.03521,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE8,51.48118,-0.02828,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE9,51.44465,0.05651,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
East of England,SG1,51.91103,-0.19417,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG10,51.8446,0.07178,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG11,51.88125,0.03278,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG12,51.81375,-0.01669,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG13,51.78673,-0.06863,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG14,51.80688,-0.09098,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG15,52.01276,-0.26149,Central Bedfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG16,52.01507,-0.29638,Central Bedfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG17,52.03445,-0.33063,Central Bedfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG18,52.08208,-0.26609,Central Bedfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG19,52.13925,-0.24049,Central Bedfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG2,51.8962,-0.16569,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG3,51.86046,-0.18022,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG4,51.921,-0.25922,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG5,51.96727,-0.28654,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG6,51.97888,-0.22057,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG7,52.00335,-0.17443,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG8,52.06369,-0.01293,Cambridgeshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SG9,51.9458,-0.00796,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
North West England,SK1,53.40736,-2.15044,Stockport,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK10,53.27793,-2.12899,Cheshire East,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK11,53.24646,-2.14238,Cheshire East,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK12,53.35169,-2.09165,Cheshire East,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
East Midlands,SK13,53.4479,-1.96386,Derbyshire,4865583,2114.712643,135.287357,38.53459842,47.41202383,13.95458561
North West England,SK14,53.45149,-2.05422,Tameside,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK15,53.48655,-2.04672,Tameside,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK16,53.47395,-2.08137,Tameside,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
East Midlands,SK17,53.24378,-1.87861,Derbyshire,4865583,2114.712643,135.287357,38.53459842,47.41202383,13.95458561
North West England,SK2,53.3948,-2.13235,Stockport,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
East Midlands,SK22,53.3724,-1.98497,Derbyshire,4865583,2114.712643,135.287357,38.53459842,47.41202383,13.95458561
East Midlands,SK23,53.32744,-1.94895,Derbyshire,4865583,2114.712643,135.287357,38.53459842,47.41202383,13.95458561
North West England,SK3,53.39835,-2.16996,Stockport,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK4,53.41901,-2.17908,Stockport,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK5,53.43433,-2.15204,Stockport,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK6,53.40563,-2.07973,Stockport,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK7,53.36962,-2.14129,Stockport,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK8,53.37941,-2.20748,Stockport,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
North West England,SK9,53.32723,-2.22975,Cheshire East,7357456,1929.927979,320.0720211,39.75834189,46.02343072,14.1001477
South East England,SL0,51.52431,-0.51371,Buckinghamshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL1,51.51751,-0.61916,Slough,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL2,51.5335,-0.60281,Slough,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL3,51.49961,-0.55198,Slough,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL4,51.4753,-0.62475,Windsor and Maidenhead,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL5,51.40468,-0.66138,Windsor and Maidenhead,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL6,51.52231,-0.72569,Windsor and Maidenhead,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL7,51.57411,-0.7762,Buckinghamshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL8,51.57786,-0.70682,Buckinghamshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SL9,51.59677,-0.55467,Buckinghamshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
London,SM1,51.36599,-0.19127,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SM2,51.35258,-0.19611,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SM3,51.36992,-0.21267,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SM4,51.39219,-0.19886,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SM5,51.36741,-0.16679,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SM6,51.35984,-0.14267,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
South East England,SM7,51.32296,-0.20014,Surrey,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South West England,SN1,51.55689,-1.77351,Swindon,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN10,51.33589,-1.98708,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN11,51.43931,-1.99856,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN12,51.37178,-2.13649,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN13,51.42383,-2.21001,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN14,51.47511,-2.1944,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN15,51.47255,-2.0792,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN16,51.59304,-2.08951,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN2,51.57939,-1.78206,Swindon,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN25,51.5911,-1.79644,Swindon,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN26,51.61086,-1.78335,Swindon,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN3,51.56132,-1.74319,Swindon,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN4,51.53089,-1.81978,Swindon,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN5,51.56509,-1.83696,Swindon,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN6,51.62067,-1.74141,Swindon,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South East England,SN7,51.64892,-1.56345,Oxfordshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South West England,SN8,51.40741,-1.6851,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SN9,51.324,-1.78614,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South East England,SO14,50.90805,-1.39546,Southampton,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO15,50.91629,-1.42381,Southampton,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO16,50.93521,-1.43069,Southampton,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO17,50.92603,-1.3938,Southampton,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO18,50.92405,-1.35968,Southampton,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO19,50.90244,-1.35429,Southampton,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO20,51.11361,-1.50422,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO21,51.07488,-1.31334,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO22,51.06509,-1.33204,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO23,51.06765,-1.30774,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO24,51.08367,-1.14615,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO30,50.91924,-1.30568,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO31,50.86882,-1.29506,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO32,50.9474,-1.20845,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO40,50.91484,-1.50065,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO41,50.75502,-1.56473,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO42,50.80976,-1.53442,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO43,50.88729,-1.58341,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
